DXCC,Name,Prefix,Cont,CQZ,ITUZ,Lat,Lon,Deleted,ValidFrom,ValidTo
488,Walvis Bay,ZS9,AF,38,57,-22.60,14.31,1,1977-09-01T00:00:00+00:00,1994-02-28T23:59:59+00:00
489,Conway Reef,3D2/C,OC,32,56,-21.40,174.40,0,,
490,Banaba Island,T33,OC,31,65,-0.90,169.50,0,,
492,Yemen,7O,AS,21,39,12.80,45.00,0,1990-05-22T00:00:00+00:00,
493,Penguin Is.,ZS0,AF,38,57,-26.61,-15.32,1,,1994-02-28T23:59:59+00:00
497,Croatia,9A,EU,15,28,45.50,15.60,0,1991-06-26T00:00:00+00:00,
499,Slovenia,S5,EU,15,28,46.00,14.50,0,1991-06-26T00:00:00+00:00,
501,Bosnia-Herzegovina,E7,EU,15,28,43.50,18.30,0,1991-10-10T00:00:00+00:00,
502,North Macedonia,Z3,EU,15,28,41.80,21.40,0,1991-09-08T00:00:00+00:00,
503,Czech Republic,OK,EU,15,28,50.10,15.50,0,1993-01-01T00:00:00+00:00,
504,Slovak Republic,OM,EU,15,28,48.10,17.10,0,1993-01-01T00:00:00+00:00,
505,Pratas Island,BV9P,AS,24,44,20.72,116.70,0,1994-01-01T00:00:00+00:00,
506,Scarborough Reef,BS7H,AS,27,50,15.00,118.00,0,1995-01-01T00:00:00+00:00,
507,Temotu Province,H40,OC,32,51,-10.70,165.80,0,1998-04-01T00:00:00+00:00,
508,Austral Islands,FO/A,OC,32,63,-22.50,-152.00,0,1998-04-01T00:00:00+00:00,
509,Marquesas Islands,FO/M,OC,31,63,-9.00,-139.50,0,1998-04-01T00:00:00+00:00,
510,Palestine,E4,AS,20,39,31.43,34.38,0,1999-02-01T00:00:00+00:00,
511,Timor - Leste,4W,OC,28,54,-8.60,125.50,0,2000-03-01T00:00:00+00:00,
512,Chesterfield Islands,FK/C,OC,30,56,-19.90,158.30,0,2000-03-23T00:00:00+00:00,
513,Ducie Island,VP6/D,OC,32,63,-24.67,-124.79,0,2001-11-16T00:00:00+00:00,
514,Montenegro,4O,EU,15,28,42.50,19.30,0,2006-06-28T00:00:00+00:00,
515,Swains Island,KH8/S,OC,32,62,-11.05,-171.25,0,2006-07-22T00:00:00+00:00,
516,St. Barthelemy,FJ,NA,8,11,17.90,-62.90,0,2007-12-14T00:00:00+00:00,
517,Curacao,PJ2,SA,9,11,12.10,-68.50,0,2010-10-10T04:00:00+00:00,
518,Sint Maarten,PJ7,NA,8,11,18.00,-63.10,0,2010-10-10T04:00:00+00:00,
519,Saba & St. Eustatius,PJ5,NA,8,11,17.50,-63.00,0,2010-10-10T04:00:00+00:00,
520,Bonaire,PJ4,SA,9,11,12.20,-68.50,0,2010-10-10T04:00:00+00:00,
521,Republic of South Sudan,Z8,AF,34,48,4.87,31.62,0,2011-07-14T00:00:00+00:00,
522,Republic of Kosovo,Z6,EU,15,28,42.67,21.12,0,2018-01-21T00:00:00+00:00,
