Prefix,Exact,DXCC,CQZ,ITUZ,Cont,Lat,Lon,ValidFrom,ValidTo
9D,0,330,21,0,,,,,
EQ,0,330,21,0,,,,,
ET,0,53,37,0,,,,,
9E,0,53,37,0,,,,,
9F,0,53,37,0,,,,,
F,0,227,14,0,,,,,
HW,0,227,14,0,,,,,
HX,0,227,14,0,,,,,
HY,0,227,14,0,,,,,
TH,0,227,14,0,,,,,
TM,0,227,14,0,,,,,
TP,0,227,14,0,,,,,
TQ,0,227,14,0,,,,,
TV,0,227,14,0,,,,,
TW,0,227,14,0,,,,,
FG,0,79,8,0,,,,,
FJ,0,516,8,0,,,,2007-12-14T00:00:00+00:00,
FK,0,162,32,0,,,,,
FK/C,0,512,30,0,,,,,
FM,0,84,8,0,,,,,
FO,0,175,32,0,,,,,
FO/A,0,508,32,0,,,,,
FO/C,0,36,7,0,,,,,
FO/M,0,509,31,0,,,,,
FP,0,277,5,0,,,,,
FR,0,453,39,0,,,,,
FW,0,298,32,0,,,,,
FY,0,63,9,0,,,,,
H4,0,185,28,0,,,,,
H40,0,507,32,0,,,,,
HA,0,239,15,0,,,,,
HG,0,239,15,0,,,,,
HB,0,287,14,0,,,,,
HE,0,287,14,0,,,,,
HC,0,120,10,0,,,,,
HD,0,120,10,0,,,,,
HC8,0,71,10,0,,,,,
HD8,0,71,10,0,,,,,
HH,0,78,8,0,,,,,
4V,0,78,8,0,,,,,
HI,0,72,8,0,,,,,
HK,0,116,9,0,,,,,
5J,0,116,9,0,,,,,
5K,0,116,9,0,,,,,
HJ,0,116,9,0,,,,,
5J0,0,216,7,0,,,,,
5K0,0,216,7,0,,,,,
HJ0,0,216,7,0,,,,,
HK0,0,216,7,0,,,,,
6K,0,137,25,0,,,,,
6L,0,137,25,0,,,,,
6M,0,137,25,0,,,,,
6N,0,137,25,0,,,,,
D8,0,137,25,0,,,,,
D9,0,137,25,0,,,,,
HP,0,88,7,0,,,,,
3E,0,88,7,0,,,,,
3F,0,88,7,0,,,,,
H3,0,88,7,0,,,,,
H8,0,88,7,0,,,,,
H9,0,88,7,0,,,,,
HO,0,88,7,0,,,,,
HR,0,80,7,0,,,,,
HQ,0,80,7,0,,,,,
HS,0,387,26,0,,,,,
E2,0,387,26,0,,,,,
HV,0,295,15,0,,,,,
HZ,0,378,21,0,,,,,
7Z,0,378,21,0,,,,,
8Z,0,378,21,0,,,,,
I,0,248,15,0,,,,,
7J,0,339,25,0,,,,,
7K,0,339,25,0,,,,,
7L,0,339,25,0,,,,,
7M,0,339,25,0,,,,,
7N,0,339,25,0,,,,,
8J,0,339,25,0,,,,,
8K,0,339,25,0,,,,,
8L,0,339,25,0,,,,,
8M,0,339,25,0,,,,,
8N,0,339,25,0,,,,,
JE,0,339,25,0,,,,,
JF,0,339,25,0,,,,,
JG,0,339,25,0,,,,,
JH,0,339,25,0,,,,,
JI,0,339,25,0,,,,,
JJ,0,339,25,0,,,,,
JK,0,339,25,0,,,,,
JL,0,339,25,0,,,,,
JM,0,339,25,0,,,,,
JN,0,339,25,0,,,,,
JO,0,339,25,0,,,,,
JP,0,339,25,0,,,,,
JQ,0,339,25,0,,,,,
JR,0,339,25,0,,,,,
JS,0,339,25,0,,,,,
JD1,0,192,27,0,,,,,
JT,0,363,23,0,,,,,
JU,0,363,23,0,,,,,
JV,0,363,23,0,,,,,
JY,0,342,20,0,,,,,
K,0,291,5,0,,,,,
AA,0,291,5,0,,,,,
AB,0,291,5,0,,,,,
AD,0,291,5,0,,,,,
AE,0,291,5,0,,,,,
AF,0,291,5,0,,,,,
AG,0,291,5,0,,,,,
AI,0,291,5,0,,,,,
AJ,0,291,5,0,,,,,
AK,0,291,5,0,,,,,
N,0,291,5,0,,,,,
W,0,291,5,0,,,,,
KH0,0,166,27,0,,,,,
AH0,0,166,27,0,,,,,
WH0,0,166,27,0,,,,,
KH2,0,103,27,0,,,,,
WH2,0,103,27,0,,,,,
WH6,0,110,31,0,,,,,
WH7,0,110,31,0,,,,,
KH8,0,9,32,0,,,,,
WH8,0,9,32,0,,,,,
KH8/S,0,515,32,0,,,,,
KL,0,6,1,0,,,,,
AL,0,6,1,0,,,,,
NL,0,6,1,0,,,,,
WL,0,6,1,0,,,,,
KP2,0,285,8,0,,,,,
WP2,0,285,8,0,,,,,
LA,0,266,14,0,,,,,
LC,0,266,14,0,,,,,
LD,0,266,14,0,,,,,
LE,0,266,14,0,,,,,
LF,0,266,14,0,,,,,
LG,0,266,14,0,,,,,
LH,0,266,14,0,,,,,
LJ,0,266,14,0,,,,,
LK,0,266,14,0,,,,,
LL,0,266,14,0,,,,,
LM,0,266,14,0,,,,,
LU,0,100,13,0,,,,,
AY,0,100,13,0,,,,,
AZ,0,100,13,0,,,,,
L2,0,100,13,0,,,,,
L3,0,100,13,0,,,,,
L4,0,100,13,0,,,,,
L5,0,100,13,0,,,,,
L6,0,100,13,0,,,,,
L7,0,100,13,0,,,,,
L8,0,100,13,0,,,,,
L9,0,100,13,0,,,,,
LO,0,100,13,0,,,,,
LP,0,100,13,0,,,,,
LQ,0,100,13,0,,,,,
LR,0,100,13,0,,,,,
LS,0,100,13,0,,,,,
LT,0,100,13,0,,,,,
LV,0,100,13,0,,,,,
LW,0,100,13,0,,,,,
LX,0,254,14,0,,,,,
LZ,0,212,20,0,,,,,
OA,0,136,10,0,,,,,
4T,0,136,10,0,,,,,
OB,0,136,10,0,,,,,
OC,0,136,10,0,,,,,
OD,0,354,20,0,,,,,
OE,0,206,15,0,,,,,
OH,0,224,15,0,,,,,
OF,0,224,15,0,,,,,
OG,0,224,15,0,,,,,
OI,0,224,15,0,,,,,
OJ,0,224,15,0,,,,,
OF0,0,5,15,0,,,,,
OG0,0,5,15,0,,,,,
OI0,0,5,15,0,,,,,
OJ0,0,167,15,0,,,,,
ON,0,209,14,0,,,,,
OO,0,209,14,0,,,,,
OP,0,209,14,0,,,,,
OQ,0,209,14,0,,,,,
OR,0,209,14,0,,,,,
OS,0,209,14,0,,,,,
OT,0,209,14,0,,,,,
OX,0,237,40,0,,,,,
XP,0,237,40,0,,,,,
OY,0,222,14,0,,,,,
OW,0,222,14,0,,,,,
OZ,0,221,14,0,,,,,
5P,0,221,14,0,,,,,
5Q,0,221,14,0,,,,,
OU,0,221,14,0,,,,,
OV,0,221,14,0,,,,,
PA,0,263,14,0,,,,,
PB,0,263,14,0,,,,,
PC,0,263,14,0,,,,,
PD,0,263,14,0,,,,,
PE,0,263,14,0,,,,,
PF,0,263,14,0,,,,,
PG,0,263,14,0,,,,,
PH,0,263,14,0,,,,,
PI,0,263,14,0,,,,,
PJ2,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ0,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ1,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ3,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ4,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ9,0,85,9,0,,,,,2010-10-10T04:00:00+00:00
PJ7,0,255,8,0,,,,,2010-10-10T04:00:00+00:00
PJ6,0,255,8,0,,,,,2010-10-10T04:00:00+00:00
PJ8,0,255,8,0,,,,,2010-10-10T04:00:00+00:00
PY,0,108,11,0,,,,,
PP,0,108,11,0,,,,,
PQ,0,108,11,0,,,,,
PR,0,108,11,0,,,,,
PS,0,108,11,0,,,,,
PT,0,108,11,0,,,,,
PU,0,108,11,0,,,,,
PV,0,108,11,0,,,,,
PW,0,108,11,0,,,,,
ZV,0,108,11,0,,,,,
ZW,0,108,11,0,,,,,
ZX,0,108,11,0,,,,,
ZY,0,108,11,0,,,,,
ZZ,0,108,11,0,,,,,
PP0F,0,56,11,0,,,,,
PP0R,0,56,11,0,,,,,
PP0ZF,0,56,11,0,,,,,
PP0ZR,0,56,11,0,,,,,
PQ0F,0,56,11,0,,,,,
PQ0R,0,56,11,0,,,,,
PQ0ZF,0,56,11,0,,,,,
PQ0ZR,0,56,11,0,,,,,
PR0F,0,56,11,0,,,,,
PR0R,0,56,11,0,,,,,
PR0ZF,0,56,11,0,,,,,
PR0ZR,0,56,11,0,,,,,
PS0F,0,56,11,0,,,,,
PS0R,0,56,11,0,,,,,
PS0ZF,0,56,11,0,,,,,
PS0ZR,0,56,11,0,,,,,
PT0F,0,56,11,0,,,,,
PT0R,0,56,11,0,,,,,
PT0ZF,0,56,11,0,,,,,
PT0ZR,0,56,11,0,,,,,
PU0F,0,56,11,0,,,,,
PU0R,0,56,11,0,,,,,
PU0ZF,0,56,11,0,,,,,
PU0ZR,0,56,11,0,,,,,
PV0F,0,56,11,0,,,,,
PV0R,0,56,11,0,,,,,
PV0ZF,0,56,11,0,,,,,
PV0ZR,0,56,11,0,,,,,
PW0F,0,56,11,0,,,,,
PW0R,0,56,11,0,,,,,
PW0ZF,0,56,11,0,,,,,
PW0ZR,0,56,11,0,,,,,
PX0F,0,56,11,0,,,,,
PX0R,0,56,11,0,,,,,
PX0ZF,0,56,11,0,,,,,
PX0ZR,0,56,11,0,,,,,
PY0R,0,56,11,0,,,,,
PY0ZF,0,56,11,0,,,,,
PY0ZR,0,56,11,0,,,,,
ZV0F,0,56,11,0,,,,,
ZV0R,0,56,11,0,,,,,
ZV0ZF,0,56,11,0,,,,,
ZV0ZR,0,56,11,0,,,,,
ZW0F,0,56,11,0,,,,,
ZW0R,0,56,11,0,,,,,
ZW0ZF,0,56,11,0,,,,,
ZW0ZR,0,56,11,0,,,,,
ZX0F,0,56,11,0,,,,,
ZX0R,0,56,11,0,,,,,
ZX0ZF,0,56,11,0,,,,,
ZX0ZR,0,56,11,0,,,,,
ZY0F,0,56,11,0,,,,,
ZY0R,0,56,11,0,,,,,
ZZ0F,0,56,11,0,,,,,
ZZ0R,0,56,11,0,,,,,
ZZ0ZF,0,56,11,0,,,,,
ZZ0ZR,0,56,11,0,,,,,
PY0T,0,273,11,0,,,,,
PP0T,0,273,11,0,,,,,
PP0ZT,0,273,11,0,,,,,
PQ0T,0,273,11,0,,,,,
PQ0ZT,0,273,11,0,,,,,
PR0T,0,273,11,0,,,,,
PR0ZT,0,273,11,0,,,,,
PS0T,0,273,11,0,,,,,
PS0ZT,0,273,11,0,,,,,
PT0T,0,273,11,0,,,,,
PT0ZT,0,273,11,0,,,,,
PU0T,0,273,11,0,,,,,
PU0ZT,0,273,11,0,,,,,
PV0T,0,273,11,0,,,,,
PV0ZT,0,273,11,0,,,,,
PW0T,0,273,11,0,,,,,
PW0ZT,0,273,11,0,,,,,
PX0T,0,273,11,0,,,,,
PX0ZT,0,273,11,0,,,,,
PY0ZT,0,273,11,0,,,,,
ZV0T,0,273,11,0,,,,,
ZV0ZT,0,273,11,0,,,,,
ZW0T,0,273,11,0,,,,,
ZW0ZT,0,273,11,0,,,,,
ZX0T,0,273,11,0,,,,,
ZX0ZT,0,273,11,0,,,,,
ZY0T,0,273,11,0,,,,,
ZY0ZT,0,273,11,0,,,,,
ZZ0T,0,273,11,0,,,,,
ZZ0ZT,0,273,11,0,,,,,
PZ,0,140,9,0,,,,,
S5,0,499,15,0,,,,,
SM,0,284,14,0,,,,,
7S,0,284,14,0,,,,,
8S,0,284,14,0,,,,,
SA,0,284,14,0,,,,,
SB,0,284,14,0,,,,,
SC,0,284,14,0,,,,,
SD,0,284,14,0,,,,,
SE,0,284,14,0,,,,,
SF,0,284,14,0,,,,,
SG,0,284,14,0,,,,,
SH,0,284,14,0,,,,,
SI,0,284,14,0,,,,,
SJ,0,284,14,0,,,,,
SK,0,284,14,0,,,,,
SL,0,284,14,0,,,,,
SP,0,269,15,0,,,,,
3Z,0,269,15,0,,,,,
HF,0,269,15,0,,,,,
SN,0,269,15,0,,,,,
SO,0,269,15,0,,,,,
SQ,0,269,15,0,,,,,
SR,0,269,15,0,,,,,
ST,0,466,34,0,,,,,
6T,0,466,34,0,,,,,
6U,0,466,34,0,,,,,
SU,0,478,34,0,,,,,
6A,0,478,34,0,,,,,
6B,0,478,34,0,,,,,
SS,0,478,34,0,,,,,
SV,0,236,20,0,,,,,
SV/A,0,180,20,0,,,,,
T2,0,282,31,0,,,,,
T5,0,232,37,0,,,,,
TA,0,390,20,0,,,,,
TB,0,390,20,0,,,,,
TC,0,390,20,0,,,,,
YM,0,390,20,0,,,,,
TA1,0,390,20,0,,,,,
TB1,0,390,20,0,,,,,
TC1,0,390,20,0,,,,,
YM1,0,390,20,0,,,,,
TF,0,242,40,0,,,,,
TG,0,76,7,0,,,,,
TD,0,76,7,0,,,,,
TI,0,308,7,0,,,,,
TE,0,308,7,0,,,,,
TI9,0,37,7,0,,,,,
TE9,0,37,7,0,,,,,
U5,0,288,16,0,,,,,
V2,0,94,8,0,,,,,
V8,0,345,28,0,,,,,
CF,0,1,5,0,,,,,
CG,0,1,5,0,,,,,
CJ,0,1,5,0,,,,,
CK,0,1,5,0,,,,,
VA,0,1,5,0,,,,,
VB,0,1,5,0,,,,,
VC,0,1,5,0,,,,,
VG,0,1,5,0,,,,,
VX,0,1,5,0,,,,,
VK,0,150,30,0,,,,,
AX,0,150,30,0,,,,,
VI,0,150,30,0,,,,,
VK0M,0,153,30,0,,,,,
AX0M,0,153,30,0,,,,,
VI0M,0,153,30,0,,,,,
AX9C,0,38,29,0,,,,,
AX9Y,0,38,29,0,,,,,
VI9C,0,38,29,0,,,,,
VI9Y,0,38,29,0,,,,,
VZ9Y,0,38,29,0,,,,,
AX9M,0,171,30,0,,,,,
VI9M,0,171,30,0,,,,,
VZ9M,0,171,30,0,,,,,
AX9W,0,303,30,0,,,,,
VI9W,0,303,30,0,,,,,
VZ9W,0,303,30,0,,,,,
AX9X,0,35,29,0,,,,,
VZ9X,0,35,29,0,,,,,
